Month,Year,Return,,,,,
11,1907,-0.0133,,,,,
12,1907,0.0795,,,,,
1,1908,0.0592,,,,,
2,1908,-0.0209,,,,,
3,1908,0.0458,,,,,
4,1908,0.0469,,,,,
5,1908,0.0640,,,,,
6,1908,0.0000,,,,,
7,1908,0.0295,,,,,
8,1908,0.0469,,,,,
9,1908,-0.0071,,,,,
10,1908,0.0053,,,,,
11,1908,0.0602,,,,,
12,1908,0.0155,,,,,
1,1909,0.0177,,,,,
2,1909,-0.0353,,,,,
3,1909,0.0174,,,,,
4,1909,0.0270,,,,,
5,1909,0.0263,,,,,
6,1909,0.0109,,,,,
7,1909,0.0178,,,,,
8,1909,0.0173,,,,,
9,1909,-0.0055,,,,,
10,1909,-0.0122,,,,,
11,1909,-0.0111,,,,,
12,1909,0.0056,,,,,
1,1910,-0.0085,,,,,
2,1910,-0.0322,,,,,
3,1910,0.0090,,,,,
4,1910,-0.0297,,,,,
5,1910,0.0060,,,,,
6,1910,-0.0351,,,,,
7,1910,-0.0465,,,,,
8,1910,0.0386,,,,,
9,1910,0.0209,,,,,
10,1910,0.0821,,,,,
11,1910,0.0237,,,,,
12,1910,-0.0239,,,,,
1,1911,0.0286,,,,,
2,1911,0.0541,,,,,
3,1911,-0.0181,,,,,
4,1911,0.0324,,,,,
5,1911,0.0256,,,,,
6,1911,0.0240,,,,,
7,1911,-0.0110,,,,,
8,1911,-0.0737,,,,,
9,1911,-0.0602,,,,,
10,1911,0.0101,,,,,
11,1911,0.0553,,,,,
12,1911,0.0192,,,,,
1,1912,-0.0053,,,,,
2,1912,-0.0150,,,,,
3,1912,0.0121,,,,,
4,1912,0.0048,,,,,
5,1912,0.0009,,,,,
6,1912,0.0160,,,,,
7,1912,0.0050,,,,,
8,1912,0.0168,,,,,
9,1912,-0.0009,,,,,
10,1912,0.0018,,,,,
11,1912,-0.0073,,,,,
12,1912,-0.0226,,,,,
1,1913,-0.0142,,,,,
2,1913,-0.0315,,,,,
3,1913,-0.0148,,,,,
4,1913,0.0031,,,,,
5,1913,-0.0129,,,,,
6,1913,-0.0556,,,,,
7,1913,0.0080,,,,,
8,1913,0.0314,,,,,
9,1913,0.0038,,,,,
10,1913,-0.0274,,,,,
11,1913,-0.0305,,,,,
12,1913,0.0133,,,,,
1,1914,0.0455,,,,,
2,1914,0.0277,,,,,
3,1914,-0.0147,,,,,
4,1914,-0.0098,,,,,
5,1914,0.0003,,,,,
6,1914,-0.0007,,,,,
7,1914,-0.0607,,,,,
8,1914,-0.1012,,,,,
9,1914,0.0044,,,,,
10,1914,-0.0409,,,,,
11,1914,0.0329,,,,,
12,1914,0.0834,,,,,
1,1915,0.0224,,,,,
2,1915,0.0012,,,,,
3,1915,0.0408,,,,,
4,1915,0.0690,,,,,
5,1915,-0.0289,,,,,
6,1915,0.0156,,,,,
7,1915,0.0004,,,,,
8,1915,0.0467,,,,,
9,1915,0.0412,,,,,
10,1915,0.0489,,,,,
11,1915,0.0286,,,,,
12,1915,0.0057,,,,,
1,1916,-0.0216,,,,,
2,1916,-0.0102,,,,,
3,1916,-0.0085,,,,,
4,1916,-0.0160,,,,,
5,1916,0.0168,,,,,
6,1916,0.0049,,,,,
7,1916,-0.0093,,,,,
8,1916,0.0030,,,,,
9,1916,0.0268,,,,,
10,1916,0.0173,,,,,
11,1916,0.0097,,,,,
12,1916,-0.0439,,,,,
1,1917,-0.0277,,,,,
2,1917,-0.0740,,,,,
3,1917,0.0366,,,,,
4,1917,-0.0567,,,,,
5,1917,-0.0434,,,,,
6,1917,0.0105,,,,,
7,1917,-0.0064,,,,,
8,1917,-0.0385,,,,,
9,1917,-0.0634,,,,,
10,1917,-0.0617,,,,,
11,1917,-0.0764,,,,,
12,1917,-0.0408,,,,,
1,1918,0.0566,,,,,
2,1918,0.0203,,,,,
3,1918,-0.0247,,,,,
4,1918,0.0054,,,,,
5,1918,0.0015,,,,,
6,1918,0.0148,,,,,
7,1918,-0.0264,,,,,
8,1918,0.0084,,,,,
9,1918,-0.0297,,,,,
10,1918,0.0380,,,,,
11,1918,-0.0273,,,,,
12,1918,0.0088,,,,,
1,1919,-0.0104,,,,,
2,1919,0.0586,,,,,
3,1919,-0.0012,,,,,
4,1919,0.0387,,,,,
5,1919,0.0737,,,,,
6,1919,-0.0238,,,,,
7,1919,0.0357,,,,,
8,1919,-0.0895,,,,,
9,1919,0.0188,,,,,
10,1919,0.0629,,,,,
11,1919,-0.0751,,,,,
12,1919,-0.0207,,,,,
1,1920,-0.0446,,,,,
2,1920,-0.0789,,,,,
3,1920,0.0924,,,,,
4,1920,-0.0957,,,,,
5,1920,-0.0491,,,,,
6,1920,-0.0181,,,,,
7,1920,-0.0140,,,,,
8,1920,0.0485,,,,,
9,1920,0.0150,,,,,
10,1920,0.0227,,,,,
11,1920,-0.0708,,,,,
12,1920,-0.0333,,,,,
1,1921,0.0694,,,,,
2,1921,0.0299,,,,,
3,1921,-0.0125,,,,,
4,1921,0.0393,,,,,
5,1921,0.0090,,,,,
6,1921,-0.0630,,,,,
7,1921,0.0274,,,,,
8,1921,-0.0143,,,,,
9,1921,0.0447,,,,,
10,1921,0.0286,,,,,
11,1921,0.0759,,,,,
12,1921,0.0271,,,,,
